1800-1809 MONTHLY VOLCANIC FORCING IN 45-DEGREE-LAT BANDS FROM N TO S
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
   52  114  175  205  205  196  173  153  135  119  105   93
  180  390  600  701  701  672  593  523  462  408  360  317
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
   82   72   63   56   49   43   38   34   30   26   23   20
  280  247  218  193  170  150  132  117  103   91   80   71
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
   18   16   14   12   11    9    8    7    6    5    5    4
   62   55   49   43   38   33   29   26   23   20   18   15
  134  207  243  243  233  206  181  160  141  125  110   97
   39   60   71   71   68   60   53   46   41   36   32   28
   59  129  199  237  236  225  198  175  154  136  120  106
  204  442  681  810  809  771  678  598  528  466  411  363
   85   76   67   59   52   46   40   35   31   28   25   22
   25   22   19   17   15   13   11   10    9    8    7    6
   93   82   73   64   56   50   44   39   34   30   26   23
  320  283  249  220  194  171  151  133  118  104   92   81
   19   17   15   13   11   10    9    8    7    5    5    5
    5    4    4    3    3    3    2    2    2    1    1    1
   20   18   16   14   12   11    9    8    7    6    5    5
   71   63   55   49   43   38   33   30   26   23   20   18
    4    4    2    2    0    0    0    0    0    0    0    0
    1    1    0    0    0    0    0    0    0    0    0    0
    4    4    3    3    2    0    0    0    0    0    0    0
   16   14   12   11    9    2    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
  231  598  965 1331 1697 2107 2443 2671 2746 2746 2746 2702
  249  667 1085 1503 1945 2356 2642 2866 2948 2948 2948 2905
  243  643 1042 1442 1866 2245 2534 2779 2860 2860 2860 2801
  211  515  818 1122 1425 1729 2072 2374 2445 2445 2445 2348

   -----     -----     -----     -----     -----
NOTE: data in (12 months) by (4 lat-zones) by (10 years)
      to get actual values of optical depth use a factor of 1.e-4
