1780-1789 MONTHLY VOLCANIC FORCING IN 45-DEGREE-LAT BANDS FROM N TO S
  105   92   82   72   64   56   50   44   38   34   30   27
   30   27   24   21   18   16   14   12   11   10    8    7
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
   23   21   18   16   13    9    8    7    6    5    5    4
    7    6    5    4    3    2    2    2    1    1    1    1
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    4    3    2    2    0    0    0    0    0    0    0    0
    1    1    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0   36  622 1390 2188
    0    0    0    0    0    0    0    0   10  182  406  640
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
 2532 2532 2462 2232 1913 1688 1490 1315 1160 1024  903  797
  741  741  721  653  560  494  436  385  339  299  264  233
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
  703  621  548  483  427  377  332  293  259  228  201  178
  206  181  160  141  125  110   97   85   75   66   59   52
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
  157  138  122  107   95   84   74   65   57   51   45   39
   46   40   35   31   27   24   21   19   16   14   13   11
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
   35   31    9    0    0    0    0    0    0    0    0    0
   10    9    2    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
  170  350  530  601  601  576  508  449  396  349  308  272
   49  102  155  175  175  168  148  131  116  102   90   79
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0
  240  212  187  165  146  128  113  100   88   78   69   60
   70   62   54   48   42   37   33   29   25   22   20   17
    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0

   -----     -----     -----     -----     -----
NOTE: data in (12 months) by (4 lat-zones) by (10 years)
      to get actual values of optical depth use a factor of 1.e-4
